                                        8 Feb 2018 13:42:20
Satellite-CougSat:  Model Area


                            Time (UTCG)          Area (m^2)
                     ------------------------    ----------
                      1 Jun 2019 20:00:00.000      6.414416
                      1 Jun 2019 20:02:00.000      6.608792
                      1 Jun 2019 20:04:00.000      6.900356
                      1 Jun 2019 20:06:00.000      6.511604
                      1 Jun 2019 20:08:00.000      6.705980
                      1 Jun 2019 20:10:00.000      6.997544
                      1 Jun 2019 20:12:00.000      6.317228
                      1 Jun 2019 20:14:00.000      6.511604
                      1 Jun 2019 20:16:00.000      5.928475
                      1 Jun 2019 20:18:00.000      6.220039
                      1 Jun 2019 20:20:00.000      6.803168
                      1 Jun 2019 20:22:00.000      6.511604
                      1 Jun 2019 20:24:00.000      6.803168
                      1 Jun 2019 20:26:00.000      5.636911
                      1 Jun 2019 20:28:00.000      6.803168
                      1 Jun 2019 20:30:00.000      6.608792
                      1 Jun 2019 20:32:00.000      6.803168
                      1 Jun 2019 20:34:00.000      6.705980
                      1 Jun 2019 20:36:00.000      6.220039
                      1 Jun 2019 20:38:00.000      6.025663
                      1 Jun 2019 20:40:00.000      6.414416
                      1 Jun 2019 20:42:00.000      7.094732
                      1 Jun 2019 20:44:00.000      6.511604
                      1 Jun 2019 20:46:00.000      6.511604
                      1 Jun 2019 20:48:00.000      6.705980
                      1 Jun 2019 20:50:00.000      6.803168
                      1 Jun 2019 20:52:00.000      6.414416
                      1 Jun 2019 20:54:00.000      6.414416
                      1 Jun 2019 20:56:00.000      6.608792
                      1 Jun 2019 20:58:00.000      6.705980
                      1 Jun 2019 21:00:00.000      6.608792
                      1 Jun 2019 21:02:00.000      6.122851
                      1 Jun 2019 21:04:00.000      6.317228
                      1 Jun 2019 21:06:00.000      6.414416
                      1 Jun 2019 21:08:00.000      6.220039
                      1 Jun 2019 21:10:00.000      5.831287
                      1 Jun 2019 21:12:00.000      6.511604
                      1 Jun 2019 21:14:00.000      6.900356
                      1 Jun 2019 21:16:00.000      6.414416
                      1 Jun 2019 21:18:00.000      6.608792
                      1 Jun 2019 21:20:00.000      6.705980
                      1 Jun 2019 21:22:00.000      6.705980
                      1 Jun 2019 21:24:00.000      6.317228
                      1 Jun 2019 21:26:00.000      6.705980
                      1 Jun 2019 21:28:00.000      6.803168
                      1 Jun 2019 21:30:00.000      6.803168
                      1 Jun 2019 21:32:00.000      5.636911
                      1 Jun 2019 21:34:00.000      5.734099
                      1 Jun 2019 21:36:00.000      6.608792
                      1 Jun 2019 21:38:00.000      6.803168
                      1 Jun 2019 21:40:00.000      6.414416
                      1 Jun 2019 21:42:00.000      6.414416
                      1 Jun 2019 21:44:00.000      6.608792
                      1 Jun 2019 21:46:00.000      6.511604
                      1 Jun 2019 21:49:00.000      6.608792
                      1 Jun 2019 21:52:00.000      6.511604
                      1 Jun 2019 21:57:00.000      6.511604
                      1 Jun 2019 22:02:00.000      6.511604
                      1 Jun 2019 22:07:00.000      6.803168
                      1 Jun 2019 22:17:00.000      6.122851
                      1 Jun 2019 22:27:00.000      6.705980
                      1 Jun 2019 22:37:00.000      6.997544
                      1 Jun 2019 23:07:00.000      6.220039
                      1 Jun 2019 23:37:00.000      6.317228
