                                     8 Feb 2018 13:41:26
Satellite-CougSat



Panels
------

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
 1 Jun 2019 20:00:00.000      768.970           1.000000
 1 Jun 2019 20:02:00.000      768.970           1.000000
 1 Jun 2019 20:04:00.000      768.970           1.000000
 1 Jun 2019 20:06:00.000      768.970           1.000000
 1 Jun 2019 20:08:00.000      768.970           1.000000
 1 Jun 2019 20:10:00.000      768.970           1.000000
 1 Jun 2019 20:12:00.000      768.970           1.000000
 1 Jun 2019 20:14:00.000      768.970           1.000000
 1 Jun 2019 20:16:00.000      768.970           1.000000
 1 Jun 2019 20:18:00.000      768.970           1.000000
 1 Jun 2019 20:20:00.000      768.970           1.000000
 1 Jun 2019 20:22:00.000      768.970           1.000000
 1 Jun 2019 20:24:00.000      768.970           1.000000
 1 Jun 2019 20:26:00.000      768.970           1.000000
 1 Jun 2019 20:28:00.000      768.970           1.000000
 1 Jun 2019 20:30:00.000      768.970           1.000000
 1 Jun 2019 20:32:00.000      768.970           1.000000
 1 Jun 2019 20:34:00.000      768.970           1.000000
 1 Jun 2019 20:36:00.000      768.970           1.000000
 1 Jun 2019 20:38:00.000      768.970           1.000000
 1 Jun 2019 20:40:00.000      768.970           1.000000
 1 Jun 2019 20:42:00.000      768.970           1.000000
 1 Jun 2019 20:44:00.000      768.970           1.000000
 1 Jun 2019 20:46:00.000        0.000           0.000000
 1 Jun 2019 20:48:00.000        0.000           0.000000
 1 Jun 2019 20:50:00.000        0.000           0.000000
 1 Jun 2019 20:52:00.000        0.000           0.000000
 1 Jun 2019 20:54:00.000        0.000           0.000000
 1 Jun 2019 20:56:00.000        0.000           0.000000
 1 Jun 2019 20:58:00.000        0.000           0.000000
 1 Jun 2019 21:00:00.000        0.000           0.000000
 1 Jun 2019 21:02:00.000        0.000           0.000000
 1 Jun 2019 21:04:00.000        0.000           0.000000
 1 Jun 2019 21:06:00.000        0.000           0.000000
 1 Jun 2019 21:08:00.000        0.000           0.000000
 1 Jun 2019 21:10:00.000        0.000           0.000000
 1 Jun 2019 21:12:00.000        0.000           0.000000
 1 Jun 2019 21:14:00.000      768.970           1.000000
 1 Jun 2019 21:16:00.000      768.970           1.000000
 1 Jun 2019 21:18:00.000      768.970           1.000000
 1 Jun 2019 21:20:00.000      768.970           1.000000
 1 Jun 2019 21:22:00.000      768.970           1.000000
 1 Jun 2019 21:24:00.000      768.970           1.000000
 1 Jun 2019 21:26:00.000      768.970           1.000000
 1 Jun 2019 21:28:00.000      768.970           1.000000
 1 Jun 2019 21:30:00.000      768.970           1.000000
 1 Jun 2019 21:32:00.000      768.970           1.000000
 1 Jun 2019 21:34:00.000      768.970           1.000000
 1 Jun 2019 21:36:00.000      768.970           1.000000
 1 Jun 2019 21:38:00.000      768.970           1.000000
 1 Jun 2019 21:40:00.000      768.970           1.000000
 1 Jun 2019 21:42:00.000      768.970           1.000000
 1 Jun 2019 21:44:00.000      768.970           1.000000
 1 Jun 2019 21:46:00.000      768.970           1.000000
 1 Jun 2019 21:48:00.000      768.970           1.000000
 1 Jun 2019 21:50:00.000      768.970           1.000000
 1 Jun 2019 21:52:00.000      768.970           1.000000
 1 Jun 2019 21:54:00.000      768.970           1.000000
 1 Jun 2019 21:56:00.000      768.970           1.000000
 1 Jun 2019 21:58:00.000      768.970           1.000000
 1 Jun 2019 22:00:00.000      768.970           1.000000
 1 Jun 2019 22:02:00.000      768.970           1.000000
 1 Jun 2019 22:04:00.000      768.970           1.000000
 1 Jun 2019 22:06:00.000      768.970           1.000000
 1 Jun 2019 22:08:00.000      768.970           1.000000
 1 Jun 2019 22:10:00.000      768.970           1.000000
 1 Jun 2019 22:12:00.000      768.970           1.000000
 1 Jun 2019 22:14:00.000      768.970           1.000000
 1 Jun 2019 22:16:00.000      768.970           1.000000
 1 Jun 2019 22:18:00.000      768.970           1.000000
 1 Jun 2019 22:20:00.000      768.970           1.000000
 1 Jun 2019 22:22:00.000      768.970           1.000000
 1 Jun 2019 22:24:00.000      768.970           1.000000
 1 Jun 2019 22:26:00.000      768.970           1.000000
 1 Jun 2019 22:28:00.000      768.970           1.000000
 1 Jun 2019 22:30:00.000      768.970           1.000000
 1 Jun 2019 22:32:00.000      768.970           1.000000
 1 Jun 2019 22:34:00.000      768.970           1.000000
 1 Jun 2019 22:36:00.000      768.970           1.000000
 1 Jun 2019 22:38:00.000      768.970           1.000000
 1 Jun 2019 22:40:00.000      768.970           1.000000
 1 Jun 2019 22:42:00.000      768.970           1.000000
 1 Jun 2019 22:44:00.000      768.970           1.000000
 1 Jun 2019 22:46:00.000      768.970           1.000000
 1 Jun 2019 22:48:00.000      768.970           1.000000
 1 Jun 2019 22:50:00.000      768.970           1.000000
 1 Jun 2019 22:52:00.000      768.970           1.000000
 1 Jun 2019 22:55:00.000      768.970           1.000000
 1 Jun 2019 22:58:00.000      768.970           1.000000
 1 Jun 2019 23:01:00.000        0.000           0.000000
 1 Jun 2019 23:04:00.000        0.000           0.000000
 1 Jun 2019 23:09:00.000        0.000           0.000000
 1 Jun 2019 23:14:00.000        0.000           0.000000
 1 Jun 2019 23:24:00.000        0.000           0.000000
 1 Jun 2019 23:34:00.000      768.970           1.000000
 1 Jun 2019 23:44:00.000      768.970           1.000000
 1 Jun 2019 23:54:00.000      787.725           1.000000
 2 Jun 2019 00:24:00.000      787.725           1.000000
 2 Jun 2019 00:54:00.000      787.725           1.000000
 2 Jun 2019 01:24:00.000        0.000           0.000000
 2 Jun 2019 02:24:00.000      750.214           1.000000
 2 Jun 2019 03:24:00.000      750.214           1.000000
 2 Jun 2019 04:24:00.000      750.214           1.000000
 2 Jun 2019 06:24:00.000      787.725           1.000000
 2 Jun 2019 08:24:00.000      787.725           1.000000
 2 Jun 2019 10:24:00.000        0.000           0.000000
 2 Jun 2019 12:24:00.000        0.000           0.000000
 2 Jun 2019 14:24:00.000      750.214           1.000000
 2 Jun 2019 16:24:00.000      750.214           1.000000
 2 Jun 2019 18:24:00.000      787.725           1.000000
 2 Jun 2019 20:24:00.000      787.725           1.000000
 2 Jun 2019 22:24:00.000      750.214           1.000000
 3 Jun 2019 00:24:00.000      787.725           1.000000
 3 Jun 2019 02:24:00.000      787.725           1.000000
 3 Jun 2019 04:24:00.000      787.725           1.000000
 3 Jun 2019 06:24:00.000        0.000           0.000000
 3 Jun 2019 08:24:00.000        0.000           0.000000
 3 Jun 2019 10:24:00.000      787.725           1.000000
 3 Jun 2019 12:24:00.000      787.725           1.000000
 3 Jun 2019 14:24:00.000      787.725           1.000000
 3 Jun 2019 16:24:00.000      768.970           1.000000
 3 Jun 2019 18:24:00.000      768.970           1.000000
 3 Jun 2019 20:24:00.000      768.970           1.000000
 3 Jun 2019 22:24:00.000      768.970           1.000000
 4 Jun 2019 00:24:00.000      768.970           1.000000
 4 Jun 2019 02:24:00.000        0.000           0.000000
 4 Jun 2019 04:24:00.000        0.000           0.000000
 4 Jun 2019 06:24:00.000      768.970           1.000000
 4 Jun 2019 08:24:00.000      768.970           1.000000
 4 Jun 2019 10:24:00.000      768.970           1.000000
 4 Jun 2019 12:24:00.000      787.725           1.000000
 4 Jun 2019 14:24:00.000      787.725           1.000000
 4 Jun 2019 16:24:00.000      787.725           1.000000
 4 Jun 2019 18:24:00.000      787.725           1.000000
 4 Jun 2019 20:24:00.000      787.725           1.000000
 4 Jun 2019 22:24:00.000        0.000           0.000000
 5 Jun 2019 00:24:00.000        0.000           0.000000
 5 Jun 2019 02:24:00.000      806.480           1.000000
 5 Jun 2019 04:24:00.000      806.480           1.000000
 5 Jun 2019 06:24:00.000      806.480           1.000000
 5 Jun 2019 08:24:00.000      806.480           1.000000
 5 Jun 2019 10:24:00.000      806.480           1.000000
 5 Jun 2019 12:24:00.000      768.970           1.000000
 5 Jun 2019 14:24:00.000      768.970           1.000000
 5 Jun 2019 16:24:00.000        0.000           0.000000
 5 Jun 2019 18:24:00.000        0.000           0.000000
 5 Jun 2019 20:24:00.000        0.000           0.000000
 5 Jun 2019 22:24:00.000      787.725           1.000000
 6 Jun 2019 00:24:00.000      787.725           1.000000
 6 Jun 2019 02:24:00.000      825.236           1.000000
 6 Jun 2019 04:24:00.000      825.236           1.000000
 6 Jun 2019 06:24:00.000      825.236           1.000000
 6 Jun 2019 08:24:00.000      825.236           1.000000
 6 Jun 2019 10:24:00.000      825.236           1.000000
 6 Jun 2019 12:24:00.000        0.000           0.000000
 6 Jun 2019 14:24:00.000        0.000           0.000000
 6 Jun 2019 16:24:00.000        0.000           0.000000
 6 Jun 2019 18:24:00.000      787.725           1.000000
 6 Jun 2019 20:24:00.000      806.480           1.000000
 6 Jun 2019 22:24:00.000      806.480           1.000000
 7 Jun 2019 00:24:00.000      806.480           1.000000
 7 Jun 2019 02:24:00.000      806.480           1.000000
 7 Jun 2019 04:24:00.000      806.480           1.000000
 7 Jun 2019 06:24:00.000      806.480           1.000000
 7 Jun 2019 08:24:00.000        0.000           0.000000
 7 Jun 2019 10:24:00.000        0.000           0.000000
 7 Jun 2019 12:24:00.000        0.000           0.000000
 7 Jun 2019 14:24:00.000      806.480           1.000000
 7 Jun 2019 16:24:00.000      787.725           1.000000
 7 Jun 2019 18:24:00.000      787.725           1.000000
 7 Jun 2019 20:24:00.000      750.214           1.000000
 7 Jun 2019 22:24:00.000      712.704           1.000000
 8 Jun 2019 00:24:00.000      750.214           1.000000
 8 Jun 2019 02:24:00.000      787.725           1.000000
 8 Jun 2019 04:24:00.000        0.000           0.000000
 8 Jun 2019 06:24:00.000        0.000           0.000000
 8 Jun 2019 08:24:00.000      787.725           1.000000
 8 Jun 2019 10:24:00.000      787.725           1.000000
 8 Jun 2019 12:24:00.000      787.725           1.000000
 8 Jun 2019 14:24:00.000      787.725           1.000000
 8 Jun 2019 16:24:00.000      787.725           1.000000
 8 Jun 2019 18:24:00.000      750.214           1.000000
 8 Jun 2019 20:24:00.000      750.214           1.000000
 8 Jun 2019 22:24:00.000      806.480           1.000000
 9 Jun 2019 00:24:00.000        0.000           0.000000
 9 Jun 2019 02:24:00.000        0.000           0.000000
 9 Jun 2019 04:24:00.000      806.480           1.000000
 9 Jun 2019 06:24:00.000      806.480           1.000000
 9 Jun 2019 08:24:00.000      825.236           1.000000
 9 Jun 2019 10:24:00.000      825.236           1.000000
 9 Jun 2019 12:24:00.000      825.236           1.000000
 9 Jun 2019 14:24:00.000      825.236           1.000000
 9 Jun 2019 16:24:00.000      825.236           1.000000
 9 Jun 2019 18:24:00.000      825.236           1.000000
 9 Jun 2019 20:24:00.000        0.000           0.000000
 9 Jun 2019 22:24:00.000        0.000           0.000000
10 Jun 2019 00:24:00.000      825.236           1.000000
10 Jun 2019 02:24:00.000      825.236           1.000000
10 Jun 2019 04:24:00.000      787.725           1.000000
10 Jun 2019 06:24:00.000      806.480           1.000000
10 Jun 2019 08:24:00.000      825.236           1.000000
10 Jun 2019 10:24:00.000      825.236           1.000000
10 Jun 2019 12:24:00.000      825.236           1.000000
10 Jun 2019 14:24:00.000      825.236           1.000000
10 Jun 2019 16:24:00.000        0.000           0.000000
10 Jun 2019 18:24:00.000        0.000           0.000000
10 Jun 2019 20:24:00.000      825.236           1.000000

All Solar Panel Groups
----------------------

       Time (UTCG)          Power (W)    Solar Intensity
------------------------    ---------    ---------------
 1 Jun 2019 20:00:00.000      768.970           1.000000
 1 Jun 2019 20:02:00.000      768.970           1.000000
 1 Jun 2019 20:04:00.000      768.970           1.000000
 1 Jun 2019 20:06:00.000      768.970           1.000000
 1 Jun 2019 20:08:00.000      768.970           1.000000
 1 Jun 2019 20:10:00.000      768.970           1.000000
 1 Jun 2019 20:12:00.000      768.970           1.000000
 1 Jun 2019 20:14:00.000      768.970           1.000000
 1 Jun 2019 20:16:00.000      768.970           1.000000
 1 Jun 2019 20:18:00.000      768.970           1.000000
 1 Jun 2019 20:20:00.000      768.970           1.000000
 1 Jun 2019 20:22:00.000      768.970           1.000000
 1 Jun 2019 20:24:00.000      768.970           1.000000
 1 Jun 2019 20:26:00.000      768.970           1.000000
 1 Jun 2019 20:28:00.000      768.970           1.000000
 1 Jun 2019 20:30:00.000      768.970           1.000000
 1 Jun 2019 20:32:00.000      768.970           1.000000
 1 Jun 2019 20:34:00.000      768.970           1.000000
 1 Jun 2019 20:36:00.000      768.970           1.000000
 1 Jun 2019 20:38:00.000      768.970           1.000000
 1 Jun 2019 20:40:00.000      768.970           1.000000
 1 Jun 2019 20:42:00.000      768.970           1.000000
 1 Jun 2019 20:44:00.000      768.970           1.000000
 1 Jun 2019 20:46:00.000        0.000           0.000000
 1 Jun 2019 20:48:00.000        0.000           0.000000
 1 Jun 2019 20:50:00.000        0.000           0.000000
 1 Jun 2019 20:52:00.000        0.000           0.000000
 1 Jun 2019 20:54:00.000        0.000           0.000000
 1 Jun 2019 20:56:00.000        0.000           0.000000
 1 Jun 2019 20:58:00.000        0.000           0.000000
 1 Jun 2019 21:00:00.000        0.000           0.000000
 1 Jun 2019 21:02:00.000        0.000           0.000000
 1 Jun 2019 21:04:00.000        0.000           0.000000
 1 Jun 2019 21:06:00.000        0.000           0.000000
 1 Jun 2019 21:08:00.000        0.000           0.000000
 1 Jun 2019 21:10:00.000        0.000           0.000000
 1 Jun 2019 21:12:00.000        0.000           0.000000
 1 Jun 2019 21:14:00.000      768.970           1.000000
 1 Jun 2019 21:16:00.000      768.970           1.000000
 1 Jun 2019 21:18:00.000      768.970           1.000000
 1 Jun 2019 21:20:00.000      768.970           1.000000
 1 Jun 2019 21:22:00.000      768.970           1.000000
