"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jun 2019 20:00:00.000,1 Jun 2019 20:05:22.171,322.171
2,1 Jun 2019 21:53:18.138,1 Jun 2019 22:25:09.503,1911.366
3,2 Jun 2019 00:13:38.752,2 Jun 2019 00:39:33.333,1554.580
4,2 Jun 2019 10:48:48.667,2 Jun 2019 11:08:54.641,1205.974
5,2 Jun 2019 12:59:48.246,2 Jun 2019 13:30:23.564,1835.318
6,2 Jun 2019 15:17:49.288,2 Jun 2019 15:50:38.260,1968.972
7,2 Jun 2019 17:39:59.452,2 Jun 2019 18:12:19.628,1940.176
8,2 Jun 2019 20:01:54.593,2 Jun 2019 20:34:35.183,1960.590
9,2 Jun 2019 22:22:07.240,2 Jun 2019 22:53:28.548,1881.308
10,3 Jun 2019 00:43:04.463,3 Jun 2019 01:05:49.101,1364.638
11,3 Jun 2019 11:14:53.210,3 Jun 2019 11:38:34.563,1421.352
12,3 Jun 2019 13:27:47.684,3 Jun 2019 13:59:14.198,1886.514
13,3 Jun 2019 15:47:01.321,3 Jun 2019 16:19:40.548,1959.227
14,3 Jun 2019 18:09:25.717,3 Jun 2019 18:41:33.777,1928.060
15,3 Jun 2019 20:30:54.590,3 Jun 2019 21:03:42.559,1967.969
16,3 Jun 2019 22:50:57.456,3 Jun 2019 23:21:33.165,1835.708
17,4 Jun 2019 01:13:09.560,4 Jun 2019 01:31:20.981,1091.421
18,4 Jun 2019 11:40:44.424,4 Jun 2019 12:07:55.117,1630.694
19,4 Jun 2019 13:55:58.046,4 Jun 2019 14:28:09.035,1930.989
20,4 Jun 2019 16:16:14.116,4 Jun 2019 16:48:55.374,1961.258
21,4 Jun 2019 18:38:47.847,4 Jun 2019 19:10:55.730,1927.884
22,4 Jun 2019 20:59:49.348,4 Jun 2019 21:32:30.329,1960.982
23,4 Jun 2019 23:19:51.890,4 Jun 2019 23:48:40.263,1728.373
24,5 Jun 2019 01:45:13.578,5 Jun 2019 01:54:07.832,534.254
25,5 Jun 2019 10:02:13.296,5 Jun 2019 10:12:24.776,611.480
26,5 Jun 2019 12:07:54.454,5 Jun 2019 12:36:51.152,1736.698
27,5 Jun 2019 14:24:24.585,5 Jun 2019 14:56:57.391,1952.806
28,5 Jun 2019 16:45:41.207,5 Jun 2019 17:18:11.871,1950.663
29,5 Jun 2019 19:08:04.320,5 Jun 2019 19:40:36.591,1952.270
30,5 Jun 2019 21:28:40.402,5 Jun 2019 22:00:40.790,1920.388
31,5 Jun 2019 23:48:54.987,6 Jun 2019 00:15:37.076,1602.089
32,6 Jun 2019 10:25:07.966,6 Jun 2019 10:43:52.769,1124.803
33,6 Jun 2019 12:35:31.117,6 Jun 2019 13:05:45.410,1814.293
34,6 Jun 2019 14:53:04.215,6 Jun 2019 15:25:56.240,1972.025
35,6 Jun 2019 17:15:11.078,6 Jun 2019 17:47:33.816,1942.737
36,6 Jun 2019 19:37:12.958,6 Jun 2019 20:09:51.638,1958.680
37,6 Jun 2019 21:57:29.627,6 Jun 2019 22:28:57.713,1888.085
38,7 Jun 2019 00:18:14.216,7 Jun 2019 00:41:52.414,1418.198
39,7 Jun 2019 10:51:01.577,7 Jun 2019 11:13:44.661,1363.083
40,7 Jun 2019 13:03:23.517,7 Jun 2019 13:34:35.251,1871.734
41,7 Jun 2019 15:22:16.187,7 Jun 2019 15:54:59.081,1962.894
42,7 Jun 2019 17:44:38.423,7 Jun 2019 18:16:47.369,1928.946
43,7 Jun 2019 20:06:14.596,7 Jun 2019 20:39:01.217,1966.621
44,7 Jun 2019 22:26:19.275,7 Jun 2019 22:57:14.324,1855.049
45,8 Jun 2019 00:48:05.171,8 Jun 2019 01:07:38.933,1173.761
46,8 Jun 2019 11:16:51.020,8 Jun 2019 11:43:12.813,1581.793
47,8 Jun 2019 13:31:30.594,8 Jun 2019 14:03:30.482,1919.888
48,8 Jun 2019 15:51:27.138,8 Jun 2019 16:24:09.697,1962.559
49,8 Jun 2019 18:14:01.744,8 Jun 2019 18:46:09.986,1928.242
50,8 Jun 2019 20:35:10.642,8 Jun 2019 21:07:56.377,1965.735
51,8 Jun 2019 22:55:12.198,8 Jun 2019 23:24:36.468,1764.269
52,9 Jun 2019 01:19:15.699,9 Jun 2019 01:31:31.139,735.440
53,9 Jun 2019 09:43:02.807,9 Jun 2019 09:43:23.744,20.938
54,9 Jun 2019 09:44:11.347,9 Jun 2019 09:45:50.318,98.970
55,9 Jun 2019 11:43:39.224,9 Jun 2019 12:12:12.483,1713.259
56,9 Jun 2019 13:59:51.666,9 Jun 2019 14:32:17.441,1945.775
57,9 Jun 2019 16:20:53.290,9 Jun 2019 16:53:24.673,1951.383
58,9 Jun 2019 18:43:19.910,9 Jun 2019 19:15:49.036,1949.126
59,9 Jun 2019 21:04:02.532,9 Jun 2019 21:36:14.002,1931.470
60,9 Jun 2019 23:24:12.377,9 Jun 2019 23:51:32.762,1640.386
61,10 Jun 2019 10:01:44.451,10 Jun 2019 10:18:48.437,1023.986
62,10 Jun 2019 12:11:13.654,10 Jun 2019 12:41:06.822,1793.168
63,10 Jun 2019 14:28:27.233,10 Jun 2019 15:01:13.877,1966.645
64,10 Jun 2019 16:50:22.211,10 Jun 2019 17:22:47.301,1945.089
65,10 Jun 2019 19:12:30.836,10 Jun 2019 19:45:07.957,1957.121
66,10 Jun 2019 21:32:52.049,10 Jun 2019 22:04:26.528,1894.479
67,10 Jun 2019 23:53:26.184,11 Jun 2019 00:18:00.223,1474.039
68,11 Jun 2019 10:27:08.924,11 Jun 2019 10:48:55.650,1306.725
69,11 Jun 2019 12:39:01.217,11 Jun 2019 13:09:57.606,1856.389
70,11 Jun 2019 14:57:36.905,11 Jun 2019 15:30:17.652,1960.746
71,11 Jun 2019 17:19:50.828,11 Jun 2019 17:52:05.947,1935.120
72,11 Jun 2019 19:41:34.193,11 Jun 2019 20:14:18.774,1964.581
73,11 Jun 2019 22:01:41.331,11 Jun 2019 22:32:48.096,1866.765
74,12 Jun 2019 00:23:06.014,12 Jun 2019 00:44:06.192,1260.178
75,12 Jun 2019 10:53:02.716,12 Jun 2019 11:18:22.990,1520.274
76,12 Jun 2019 13:07:06.332,12 Jun 2019 13:38:51.073,1904.741
77,12 Jun 2019 15:26:44.852,12 Jun 2019 15:59:28.265,1963.413
78,12 Jun 2019 17:49:15.244,12 Jun 2019 18:21:22.182,1926.937
79,12 Jun 2019 20:10:31.629,12 Jun 2019 20:43:19.129,1967.501
80,12 Jun 2019 22:30:33.032,12 Jun 2019 23:00:26.785,1793.753
81,13 Jun 2019 00:53:45.379,13 Jun 2019 01:08:38.021,892.642
82,13 Jun 2019 11:19:27.420,13 Jun 2019 11:47:33.543,1686.123
83,13 Jun 2019 13:35:15.563,13 Jun 2019 14:07:42.109,1946.546
84,13 Jun 2019 15:56:04.788,13 Jun 2019 16:28:39.402,1954.614
85,13 Jun 2019 18:18:35.017,13 Jun 2019 18:50:57.537,1942.520
86,13 Jun 2019 20:39:24.484,13 Jun 2019 21:11:47.118,1942.634
87,13 Jun 2019 22:59:30.743,13 Jun 2019 23:27:26.753,1676.010
88,14 Jun 2019 09:38:37.580,14 Jun 2019 09:53:34.180,896.600
89,14 Jun 2019 11:46:57.904,14 Jun 2019 12:16:27.712,1769.808
90,14 Jun 2019 14:03:51.226,14 Jun 2019 14:36:33.828,1962.602
91,14 Jun 2019 16:25:33.506,14 Jun 2019 16:58:00.318,1946.812
92,14 Jun 2019 18:47:48.206,14 Jun 2019 19:20:23.505,1955.299
93,14 Jun 2019 21:08:14.451,14 Jun 2019 21:39:58.598,1904.148
94,14 Jun 2019 23:28:39.986,14 Jun 2019 23:54:05.059,1525.073
95,15 Jun 2019 10:03:15.127,15 Jun 2019 10:24:04.647,1249.521
96,15 Jun 2019 12:14:35.134,15 Jun 2019 12:45:20.013,1844.879
97,15 Jun 2019 14:32:51.601,15 Jun 2019 15:05:36.655,1965.053
98,15 Jun 2019 16:55:02.923,15 Jun 2019 17:27:20.226,1937.303
